,wiatr [GWh],ogółem [GWh],moc [MW],moc �rednia [MW]
2000,5,145200,"4.74",
2001,14,145600,"27.74","16.24"
2002,61,144100,"28.34","28.04"
2003,124,151600,"58.34","43.34"
2004,"142.3",154200,63,"60.67"
2005,"135.5",156900,"83,3","73.15"
2006,"256.1",161700,152,"117.65"
2007,"521.6",159300,"287,9","219.95"
2008,"836.8",155500,451,"369.45"
2009,"1077.3",151700,"724.7","587.85"
2010,1664,157658,"1180.272","952.486"
2011,3205,163548,"1616.361","1398.3165"
2012,4747,162139,"2496.748","2056.5545"
2013,6004,164557,"3389.541","2943.1445"
2014,7676,159058,"3833.832","3611.6865"
2015,10858,164944,"4582.036","4207.934"
2016,12588,166634,"5807.416","5194.726"
2017,14909,170465,"5848.671","5828.0435"
2018,12799,170039,"5864.443","5856.557"
2019,15107,163989,"5917.243","5890.843"
2020,15800,158043,"6347.111","6132.177"
